Trtsize,Nsites,Detprob,Nplots,logitTrt,aInt.m,aInt.se,aInt.sd,aInt.cover,aTrtYr.m,aTrtYr.se,aTrtYr.sd,aTrtYr.cover,aTrtYr.power,bInt.m,n
0.3,20,0.15,7,-3.79173684,2.122071901,0.588090127,1.058589989,0.972,-2.894699407,1.385350917,2.247159786,1,0.266,0.455482727,500
0.3,20,0.3,7,-3.79173684,2.486251203,0.548186811,0.989996235,0.986,-3.612994156,1.149922127,1.89901705,0.996,0.584,0.131626524,500
0.3,20,0.5,7,-3.79173684,2.534173618,0.603333029,0.95102529,0.97,-3.978539145,1.068608441,1.785409684,0.998,0.752,0.023208383,500
0.3,40,0.15,7,-3.79173684,2.389607414,0.547637167,0.96838277,0.972,-3.63461832,1.0238978,1.832936628,1,0.644,0.335003915,500
0.3,40,0.3,7,-3.79173684,2.704296135,0.566778699,0.884741352,0.97,-4.027453728,1.009209084,1.657036973,0.998,0.858,0.060223975,500
0.3,40,0.5,7,-3.79173684,2.735204529,0.554250024,0.812758297,0.972,-4.121718863,1.044240967,1.556888613,0.996,0.918,0.011412866,500
0.3,60,0.15,7,-3.79173684,2.546073217,0.568334301,0.913933955,0.972,-3.92616501,0.939459946,1.697219499,1,0.836,0.335489798,500
0.3,60,0.3,7,-3.79173684,2.807823241,0.565876084,0.811754157,0.98,-4.090025454,0.991560232,1.551365023,0.994,0.922,0.038621639,500
0.3,60,0.5,7,-3.79173684,2.832066233,0.591277321,0.73836799,0.978,-4.097454003,1.022466632,1.422888541,0.994,0.944,0.000574955,500
0.6,20,0.15,7,-2.538973871,2.108147344,0.54983819,1.07161067,0.968,-1.245114812,1.425175336,2.603111023,0.996,0.046,0.346997296,500
0.6,20,0.3,7,-2.538973871,2.419532308,0.566780328,0.985567174,0.986,-2.287723354,1.390515937,2.207182871,0.998,0.178,0.088614434,500
0.6,20,0.5,7,-2.538973871,2.494015897,0.604225884,0.941438292,0.958,-2.632013436,1.343165391,1.920225926,0.996,0.294,0.016707397,500
0.6,40,0.15,7,-2.538973871,2.428354239,0.54383935,0.966316645,0.976,-2.034298732,1.318768522,2.289900023,0.996,0.134,0.318813204,500
0.6,40,0.3,7,-2.538973871,2.688279958,0.584977563,0.872481441,0.964,-2.985064903,1.079878464,1.808621581,0.994,0.46,0.05376189,500
0.6,40,0.5,7,-2.538973871,2.770274655,0.552639472,0.819561613,0.978,-2.982868261,1.107209013,1.61036096,0.994,0.524,0.014410978,500
0.6,60,0.15,7,-2.538973871,2.554800892,0.538421388,0.920603556,0.98,-2.547158842,1.240693542,2.053543094,0.996,0.29,0.198627783,500
0.6,60,0.3,7,-2.538973871,2.783941573,0.558963644,0.808164668,0.98,-3.182007102,1.066278201,1.619948603,0.986,0.618,0.02245051,500
0.6,60,0.5,7,-2.538973871,2.837416075,0.563241755,0.744133692,0.97,-3.091011011,1.068379206,1.462364477,0.982,0.696,-0.002827468,500
